customer_id,age,gender,purchase_date,product_category,amount,payment_method,rating
1001,32,F,2023-01-15,Electronics,299.99,Credit Card,4
1001,32,F,2023-01-15,Accessories,24.99,Credit Card,5
1002,28,M,2023-01-16,Clothing,89.50,Debit Card,5
1002,28,M,2023-02-05,Electronics,549.00,Debit Card,4
1002,28,M,2023-03-18,Gaming,129.99,Debit Card,
1003,45,F,2023-01-17,Home & Kitchen,150.00,PayPal,3
1003,45,F,2023-02-14,Beauty,62.00,PayPal,4
1004,36,M,2023-01-18,Electronics,450.50,Credit Card,4
1004,36,M,2023-03-22,Electronics,799.00,Credit Card,3
1005,29,F,2023-01-19,Beauty,75.25,Debit Card,5
1005,29,F,2023-02-28,Clothing,110.00,Debit Card,4
1006,41,M,2023-01-20,Electronics,199.99,Credit Card,3
1006,41,M,2023-01-27,Electronics,89.99,Credit Card,4
1007,33,F,2023-01-21,Clothing,120.00,PayPal,4
1007,33,F,2023-03-09,Home & Kitchen,95.00,PayPal,3
1008,27,M,2023-01-22,Electronics,350.00,Credit Card,5
1008,27,M,2023-03-15,Electronics,120.00,Credit Card,4
1009,39,F,2023-01-23,Home & Kitchen,225.75,Debit Card,3
1009,39,F,2023-02-11,Beauty,55.00,Debit Card,4
1010,31,M,2023-01-24,Beauty,60.00,PayPal,4
1010,31,M,2023-03-30,Electronics,310.00,PayPal,5
1011,44,F,2023-01-25,Clothing,95.50,Credit Card,5
1011,44,F,2023-02-17,Clothing,45.00,Credit Card,4
1012,30,M,2023-01-26,Electronics,275.00,Debit Card,4
1012,30,M,2023-03-28,Fitness,89.00,Debit Card,5
1013,35,F,2023-01-27,Home & Kitchen,180.00,PayPal,3
1013,35,F,2023-02-22,Beauty,70.00,PayPal,4
1014,26,M,2023-01-28,Beauty,70.25,Credit Card,5
1014,26,M,2023-03-12,Electronics,290.00,Credit Card,4
1015,42,F,2023-01-29,Electronics,399.99,Debit Card,4
1015,42,F,2023-02-26,Home & Kitchen,120.00,Debit Card,3
1016,38,M,2023-01-30,Clothing,110.00,PayPal,4
1016,38,M,2023-03-21,Electronics,420.00,PayPal,5
1017,29,F,2023-01-31,Electronics,325.50,Credit Card,5
1017,29,F,2023-02-28,Beauty,48.00,Credit Card,5
