Major,Median
PETROLEUM ENGINEERING,110000
MINING AND MINERAL ENGINEERING,75000
METALLURGICAL ENGINEERING,73000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,70000
CHEMICAL ENGINEERING,65000
NUCLEAR ENGINEERING,65000
ACTUARIAL SCIENCE,62000
ASTRONOMY AND ASTROPHYSICS,62000
MECHANICAL ENGINEERING,60000
ELECTRICAL ENGINEERING,60000
COMPUTER ENGINEERING,60000
AEROSPACE ENGINEERING,60000
BIOMEDICAL ENGINEERING,60000
MATERIALS SCIENCE,60000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,58000
BIOLOGICAL ENGINEERING,57100
INDUSTRIAL AND MANUFACTURING ENGINEERING,57000
GENERAL ENGINEERING,56000
ARCHITECTURAL ENGINEERING,54000
COURT REPORTING,54000
COMPUTER SCIENCE,53000
FOOD SCIENCE,53000
ELECTRICAL ENGINEERING TECHNOLOGY,52000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,52000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,51000
CIVIL ENGINEERING,50000
CONSTRUCTION SERVICES,50000
OPERATIONS LOGISTICS AND E-COMMERCE,50000
MISCELLANEOUS ENGINEERING,50000
PUBLIC POLICY,50000
ENVIRONMENTAL ENGINEERING,50000
ENGINEERING TECHNOLOGIES,50000
MISCELLANEOUS FINE ARTS,50000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,50000
NURSING,48000
FINANCE,47000
ECONOMICS,47000
BUSINESS ECONOMICS,46000
INDUSTRIAL PRODUCTION TECHNOLOGIES,46000
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",46000
ACCOUNTING,45000
MATHEMATICS,45000
COMPUTER AND INFORMATION SYSTEMS,45000
PHYSICS,45000
MEDICAL TECHNOLOGIES TECHNICIANS,45000
INFORMATION SCIENCES,45000
STATISTICS AND DECISION SCIENCE,45000
APPLIED MATHEMATICS,45000
PHARMACOLOGY,45000
OCEANOGRAPHY,44700
ENGINEERING AND INDUSTRIAL MANAGEMENT,44000
MEDICAL ASSISTING SERVICES,42000
MATHEMATICS AND COMPUTER SCIENCE,42000
COMPUTER PROGRAMMING AND DATA PROCESSING,41300
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,41000
SCHOOL STUDENT COUNSELING,41000
INTERNATIONAL RELATIONS,40100
GENERAL BUSINESS,40000
ARCHITECTURE,40000
INTERNATIONAL BUSINESS,40000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,40000
MOLECULAR BIOLOGY,40000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,40000
AGRICULTURE PRODUCTION AND MANAGEMENT,40000
GENERAL AGRICULTURE,40000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,40000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,40000
GENETICS,40000
MISCELLANEOUS SOCIAL SCIENCES,40000
UNITED STATES HISTORY,40000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,40000
AGRICULTURAL ECONOMICS,40000
PHYSICAL SCIENCES,40000
MILITARY TECHNOLOGIES,40000
CHEMISTRY,39000
