Major,Unemployment_rate
NUCLEAR ENGINEERING,0.177226407
PUBLIC ADMINISTRATION,0.1594906
COMPUTER NETWORKING AND TELECOMMUNICATIONS,0.151849807
CLINICAL PSYCHOLOGY,0.149048198
PUBLIC POLICY,0.128426299
COMMUNICATION TECHNOLOGIES,0.119511469
MINING AND MINERAL ENGINEERING,0.117241379
COMPUTER PROGRAMMING AND DATA PROCESSING,0.11398259
GEOGRAPHY,0.113458628
ARCHITECTURE,0.113331949
COMMUNITY AND PUBLIC HEALTH,0.112144387
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,0.108786611
SCHOOL STUDENT COUNSELING,0.107579462
OTHER FOREIGN LANGUAGES,0.107115726
FILM VIDEO AND PHOTOGRAPHIC ARTS,0.10577224
LIBRARY SCIENCE,0.104945718
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,0.10443571
GENERAL SOCIAL SCIENCES,0.103454715
ANTHROPOLOGY AND ARCHEOLOGY,0.102791571
VISUAL AND PERFORMING ARTS,0.102197419
POLITICAL SCIENCE AND GOVERNMENT,0.101174601
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,0.099723375
ECONOMICS,0.099092317
CRIMINOLOGY,0.097243919
FOOD SCIENCE,0.09693146
INTERNATIONAL RELATIONS,0.096798943
COMMERCIAL ART AND GRAPHIC DESIGN,0.096797577
FORESTRY,0.096725743
BUSINESS ECONOMICS,0.096448381
INTERNATIONAL BUSINESS,0.096175064
PHILOSOPHY AND RELIGIOUS STUDIES,0.096051684
HISTORY,0.095666912
ACTUARIAL SCIENCE,0.095652174
ENVIRONMENTAL ENGINEERING,0.093588575
COMPUTER AND INFORMATION SYSTEMS,0.093460326
INTERDISCIPLINARY SOCIAL SCIENCES,0.092305816
BIOMEDICAL ENGINEERING,0.09208386
APPLIED MATHEMATICS,0.090823307
MASS MEDIA,0.089836827
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,0.089626262
STUDIO ARTS,0.089552239
MISCELLANEOUS FINE ARTS,0.089375
ENGLISH LANGUAGE AND LITERATURE,0.08772359
ELECTRICAL ENGINEERING TECHNOLOGY,0.087557114
BIOLOGICAL ENGINEERING,0.087143069
STATISTICS AND DECISION SCIENCE,0.086273666
PHARMACOLOGY,0.085531575
SOCIOLOGY,0.084951001
MOLECULAR BIOLOGY,0.084361164
FINE ARTS,0.084186296
PSYCHOLOGY,0.083810867
INTERCULTURAL AND INTERNATIONAL STUDIES,0.083633531
CRIMINAL JUSTICE AND FIRE PROTECTION,0.082452199
GENERAL MEDICAL AND HEALTH SERVICES,0.082101621
COMPOSITION AND RHETORIC,0.081742207
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,0.08141125
BIOCHEMICAL SCIENCES,0.080531385
ENVIRONMENTAL SCIENCE,0.078584681
LIBERAL ARTS,0.078267592
DRAMA AND THEATER ARTS,0.07754113
AGRICULTURAL ECONOMICS,0.077249576
MUSIC,0.075959674
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,0.075566386
GEOLOGY AND EARTH SCIENCE,0.075448568
