DATE OCC,Crm Cd Desc,AREA NAME,Status Desc,TIME OCC,quater
05/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
03/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,130,2020Q1
09/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q3
05/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
12/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
06/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1525,2020Q2
07/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,900,2020Q3
01/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q1
12/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1630,2020Q4
03/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q1
11/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,950,2020Q4
08/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q3
03/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q1
12/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q4
02/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q1
08/31/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q3
10/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
06/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q2
10/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,730,2020Q4
09/15/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q3
12/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
12/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1930,2020Q4
09/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,230,2020Q3
04/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1200,2020Q2
12/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1730,2020Q4
01/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2030,2020Q1
01/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,2030,2020Q1
